,id,pid,ms_subclass,ms_zoning,lot_area,street,regular_lot,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_floors,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,fancy_masonry,mas_vnr_area,exter_exc,exter_cond,conc_found,bsmt_exc,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_exc,central_air,stand_elec,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_exc,totrms_abvgrd,functional,fireplaces,garage_connect,garage_cars,garage_area,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,sell_diff,remod_diff,remod_x_sell,salepricelog,over_exc,qual_sqaure,exc_x_qual
49,1078,528188090,160,RL,2448,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2.0,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,1,106.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,1,1,1,764,862,0,1626,0.0,0.0,2,1,2,1,1,6,Typ,0,1,2.0,474.0,1,0,27,0,0,0,No,0,10,2008,WD ,155000,5,4,20,11.951180395901384,16,49,784
50,2511,533221080,160,FV,2998,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,1,513.0,1,TA,1,1,TA,No,GLQ,353.0,Unf,0.0,403.0,756.0,GasA,1,1,1,768,756,0,1524,0.0,0.0,2,1,2,1,1,4,Typ,0,0,2.0,440.0,1,0,32,0,0,0,No,0,6,2006,WD ,166000,6,6,36,12.01974306733868,16,36,576
51,912,909250220,50,RL,7804,Pave,1,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,0,0.0,0,TA,0,0,TA,No,BLQ,622.0,Unf,0.0,500.0,1122.0,GasA,0,1,1,1328,653,0,1981,1.0,0.0,2,0,4,1,1,7,Min2,2,0,2.0,576.0,1,431,44,0,0,0,MnPrv,0,12,2009,WD ,135000,81,59,4779,11.813030057420567,1,16,16
53,330,923226250,160,RM,1476,Pave,1,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2.0,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,0,0.0,0,TA,0,0,TA,No,GLQ,176.0,Unf,0.0,370.0,546.0,GasA,1,1,1,546,546,0,1092,0.0,0.0,1,1,3,1,0,5,Typ,0,0,0.0,0.0,1,200,26,0,0,0,No,0,3,2010,WD ,76000,40,40,1600,11.238488619268468,1,16,16
56,98,533212020,160,FV,2544,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2.0,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,0,0.0,1,TA,1,1,TA,No,GLQ,368.0,ALQ,42.0,190.0,600.0,GasA,1,1,1,600,600,0,1200,1.0,0.0,2,1,2,1,1,4,Typ,0,0,2.0,480.0,1,0,172,0,0,0,No,0,2,2010,WD ,149500,6,5,30,11.915051671812877,16,49,784
58,1934,535304170,20,RL,7942,Pave,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,Rec,85.0,ALQ,955.0,0.0,1040.0,GasA,0,1,0,1040,0,0,1040,0.0,1.0,1,0,3,1,0,6,Typ,0,1,1.0,293.0,1,0,0,0,0,0,MnPrv,0,6,2007,WD ,136000,54,54,2916,11.820410164718188,0,36,0
63,1295,902109160,50,RM,7308,Pave,1,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,0,0.0,0,Fa,0,0,TA,No,Rec,360.0,Unf,0.0,576.0,936.0,GasA,1,0,0,960,780,0,1740,0.0,0.0,1,0,2,1,1,6,Typ,1,0,1.0,225.0,0,0,0,236,0,0,No,0,6,2008,WD ,122250,88,58,5104,11.713823407337118,4,25,100
66,2202,909252150,70,RL,4000,Pave,1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2.0,7,8,1930,1995,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,1,TA,No,GLQ,246.0,Unf,0.0,285.0,531.0,GasA,0,1,1,567,531,0,1098,1.0,0.0,1,0,2,1,0,5,Typ,1,0,1.0,216.0,1,0,0,0,0,0,MnPrv,0,6,2007,WD ,148500,77,12,924,11.908340237224891,1,49,49
67,2833,908188150,160,RM,3363,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,2.0,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,1,117.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,976.0,976.0,GasA,1,1,1,976,732,0,1708,0.0,0.0,2,0,3,1,1,7,Maj1,0,0,2.0,380.0,1,0,40,0,0,0,No,0,4,2006,WD ,130000,2,2,4,11.77528972943772,16,49,784
69,2428,528228565,120,RL,3013,Pave,1,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1.0,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,1,145.0,1,TA,1,1,TA,Gd,GLQ,16.0,Unf,0.0,1346.0,1362.0,GasA,1,1,1,1506,0,0,1506,0.0,0.0,2,0,2,1,1,6,Typ,1,1,2.0,440.0,1,142,20,0,0,0,No,0,4,2006,WD ,213490,1,1,1,12.27134527214637,16,49,784
73,2832,908188140,160,RM,2522,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2.0,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,1,50.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,970.0,970.0,GasA,1,1,1,970,739,0,1709,0.0,0.0,2,0,3,1,1,7,Maj1,0,0,2.0,380.0,1,0,40,0,0,0,No,0,4,2006,WD ,137500,2,2,4,11.831379196088763,16,49,784
75,1360,903452025,30,RM,6291,Grvl,0,Lvl,AllPub,Inside,Gtl,IDOTRR,RRNe,Norm,1Fam,1.0,6,6,1930,1950,Gable,CompShg,Stucco,Wd Shng,0,0.0,1,Gd,0,0,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,GasA,0,1,1,768,0,0,768,0.0,0.0,1,0,1,1,0,4,Typ,0,0,2.0,440.0,0,0,0,84,0,0,No,0,7,2008,WD ,93850,78,58,4524,11.449453042014655,1,36,36
77,1350,903235100,30,RM,6324,Pave,0,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1.0,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,0,0,1,520,0,0,520,0.0,0.0,1,0,1,1,0,4,Typ,0,0,1.0,240.0,1,49,0,87,0,0,No,0,5,2008,WD ,68500,81,58,4698,11.134589024250317,0,16,0
79,2235,910201050,50,RM,7288,Pave,1,Lvl,AllPub,Inside,Gtl,IDOTRR,Artery,Norm,1Fam,1.5,5,7,1925,2003,Gable,CompShg,VinylSd,VinylSd,0,0.0,1,Gd,0,0,Po,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,1,1,1,936,665,0,1601,0.0,0.0,2,0,3,1,0,6,Typ,0,0,0.0,0.0,0,0,0,0,176,0,No,0,9,2007,WD ,129850,82,4,328,11.774135217090894,4,25,100
80,1993,902301130,70,RM,4571,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.0,5,7,1910,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,No,BLQ,168.0,Unf,0.0,448.0,616.0,GasA,1,1,1,616,616,0,1232,0.0,0.0,1,0,3,1,0,6,Typ,0,0,2.0,480.0,1,280,0,143,0,0,No,0,6,2007,WD ,114000,97,57,5529,11.643953727376633,1,25,25
84,1592,923203140,120,RM,4500,Pave,1,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1.0,6,5,1997,1997,Hip,CompShg,VinylSd,VinylSd,1,197.0,0,TA,1,1,TA,No,GLQ,864.0,Unf,0.0,325.0,1189.0,GasA,1,1,1,1189,0,0,1189,1.0,0.0,2,0,2,1,0,4,Typ,0,1,2.0,392.0,1,0,122,0,0,0,No,0,4,2008,WD ,160500,11,11,121,11.986049221552207,4,36,144
85,2409,528186110,120,RL,6373,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1.0,9,5,2006,2006,Hip,CompShg,MetalSd,MetalSd,1,572.0,1,TA,1,1,Gd,No,GLQ,415.0,Unf,0.0,1251.0,1666.0,GasA,1,1,1,1666,0,0,1666,1.0,0.0,2,0,2,1,1,6,Typ,1,1,2.0,575.0,1,228,75,0,0,0,No,0,6,2006,New,310090,0,0,0,12.644617856906528,16,81,1296
89,96,533210060,160,FV,3215,Pave,1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2.0,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,1,120.0,1,TA,1,1,TA,Av,GLQ,280.0,Unf,0.0,320.0,600.0,GasA,1,1,1,600,600,0,1200,0.0,0.0,2,1,2,1,1,4,Typ,0,0,2.0,480.0,1,0,172,0,0,0,No,0,4,2010,ConLD,155000,6,6,36,11.951180395901384,16,49,784
93,811,906226100,90,RL,7018,Pave,1,Bnk,AllPub,Inside,Gtl,SawyerW,Norm,Norm,Duplex,1.0,5,5,1979,1979,Gable,CompShg,HdBoard,HdBoard,0,0.0,0,TA,0,0,No,No,No,0.0,No,0.0,0.0,0.0,GasA,0,1,1,1535,0,0,1535,0.0,0.0,2,0,4,2,0,8,Typ,0,1,2.0,400.0,1,0,0,0,0,0,GdPrv,0,6,2009,WD ,118858,30,30,900,11.685684782260491,0,25,0
95,1836,533206060,120,FV,3523,Pave,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1.0,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,1,30.0,1,TA,1,1,TA,No,GLQ,60.0,Unf,0.0,1081.0,1141.0,GasA,1,1,1,1151,0,0,1151,1.0,0.0,2,0,2,1,1,5,Typ,0,1,2.0,484.0,1,0,60,0,0,0,No,0,2,2007,New,166000,1,0,0,12.01974306733868,16,64,1024
97,1886,534276180,20,RL,7450,Pave,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,Rec,438.0,LwQ,206.0,250.0,894.0,GasA,1,1,1,1074,0,0,1074,0.0,0.0,1,0,2,1,1,6,Min1,1,0,2.0,396.0,1,0,72,0,0,0,GdWo,0,1,2007,WD ,124000,51,51,2601,11.728036844587175,4,25,100
98,1724,528186090,120,RL,7313,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1.0,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,1,246.0,1,TA,1,1,TA,No,GLQ,1153.0,Unf,0.0,408.0,1561.0,GasA,1,1,1,1561,0,0,1561,1.0,0.0,2,0,2,1,1,6,Typ,1,1,2.0,556.0,1,203,47,0,0,0,No,0,8,2007,WD ,277500,2,2,4,12.533576212168626,16,81,1296
106,2513,533223080,160,FV,2651,Pave,1,Lvl,AllPub,FR2,Gtl,Somerst,Norm,Norm,Twnhs,2.0,7,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,0,0.0,1,TA,1,1,TA,No,GLQ,641.0,Unf,0.0,32.0,673.0,GasA,1,1,1,673,709,0,1382,1.0,0.0,2,1,3,1,1,6,Typ,0,0,2.0,490.0,1,153,50,0,0,0,No,0,4,2006,WD ,165000,6,6,36,12.013700752882718,16,49,784
109,51,528188120,160,RL,2628,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2.0,7,5,2003,2003,Gable,CompShg,VinylSd,Wd Shng,1,106.0,1,TA,1,1,TA,No,Unf,0.0,Unf,0.0,764.0,764.0,GasA,1,1,1,764,862,0,1626,0.0,0.0,2,1,2,1,1,6,Typ,0,1,2.0,474.0,1,0,27,0,0,0,No,0,6,2010,WD ,175500,7,7,49,12.075394321888057,16,49,784
110,699,902106010,70,RM,6406,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2.0,5,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,TA,No,ALQ,421.0,Unf,0.0,269.0,690.0,GasA,0,1,0,868,690,0,1558,0.0,0.0,1,1,3,1,0,7,Typ,1,0,2.0,400.0,1,0,36,0,0,182,MnPrv,0,10,2009,WD ,150000,70,59,4130,11.918390573078392,0,25,0
112,1345,903232090,50,RM,6240,Pave,1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,1,0,TA,No,Unf,0.0,Unf,0.0,1078.0,1078.0,GasA,0,1,1,1128,445,0,1573,0.0,0.0,2,0,3,1,0,8,Typ,1,0,2.0,360.0,0,0,0,0,0,0,No,0,6,2008,WD ,162900,78,16,1248,12.000891794590137,0,25,0
117,1168,533215020,120,FV,4765,Pave,0,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1.0,9,5,2000,2000,Hip,CompShg,MetalSd,MetalSd,1,260.0,1,TA,1,1,TA,Av,GLQ,1027.0,Unf,0.0,587.0,1614.0,GasA,1,1,1,1638,0,0,1638,1.0,0.0,2,0,2,1,1,5,Typ,1,1,2.0,495.0,1,230,68,0,0,0,No,0,7,2008,WD ,300000,8,8,64,12.611537753638338,16,81,1296
124,715,902301080,50,RM,3500,Pave,1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,0,0.0,0,TA,0,0,TA,No,LwQ,312.0,Unf,0.0,408.0,720.0,GasA,0,1,1,720,564,0,1284,0.0,0.0,1,1,2,1,0,5,Typ,0,0,1.0,240.0,1,0,35,0,0,0,MnWw,0,4,2009,WD ,110000,62,59,3658,11.608235644774552,0,25,0
129,1551,910205010,80,RM,6000,Pave,1,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5,5,5,1967,1967,Hip,CompShg,HdBoard,Plywood,0,0.0,0,TA,0,1,TA,Mn,Rec,257.0,Unf,0.0,367.0,624.0,GasA,1,1,1,1092,564,0,1656,0.0,0.0,1,1,3,1,0,7,Mod,1,1,1.0,288.0,1,0,180,0,0,100,MnPrv,0,7,2008,WD ,126000,41,41,1681,11.744037185933616,4,25,100
130,1049,527454120,120,RL,2529,Pave,1,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,1.0,7,6,1977,1977,Gable,CompShg,Plywood,Brk Cmn,0,0.0,0,TA,0,1,TA,No,ALQ,378.0,Unf,0.0,677.0,1055.0,GasA,0,1,1,1055,0,0,1055,0.0,0.0,2,0,2,1,0,4,Typ,0,1,2.0,440.0,1,0,38,0,0,0,No,0,9,2008,WD ,148500,31,31,961,11.908340237224891,1,49,49
132,414,527454130,160,RL,2349,Pave,1,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2.0,6,5,1977,1977,Gable,CompShg,Plywood,Brk Cmn,0,0.0,0,TA,0,1,TA,No,ALQ,389.0,Unf,0.0,466.0,855.0,GasA,0,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,0,6,Typ,1,1,2.0,440.0,1,0,28,0,0,0,No,0,5,2009,WD ,137900,32,32,1024,11.834284063781393,1,36,36
134,1514,909100170,30,RL,5604,Pave,1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.0,5,6,1925,1950,Gable,CompShg,Stucco,Stucco,0,0.0,0,TA,0,0,TA,No,Rec,468.0,Unf,0.0,396.0,864.0,GasA,0,0,0,864,0,0,864,1.0,0.0,1,0,2,1,0,5,Typ,0,0,0.0,0.0,1,0,0,96,0,0,No,0,4,2008,WD ,98000,83,58,4814,11.49272275765271,0,25,0
135,1040,527450110,160,RM,1680,Pave,1,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2.0,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,1,359.0,0,TA,0,0,TA,No,LwQ,458.0,Unf,0.0,25.0,483.0,GasA,0,1,1,483,504,0,987,0.0,1.0,1,1,2,1,0,5,Typ,0,0,1.0,264.0,1,52,0,0,0,0,No,0,2,2008,WD ,103400,35,35,1225,11.546360241056465,0,36,0
136,216,905101100,50,RL,6342,Pave,1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,Norm,1Fam,1.5,5,8,1875,1996,Gable,CompShg,VinylSd,VinylSd,0,0.0,0,Gd,0,0,TA,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,1,0,1,780,240,0,1020,0.0,0.0,1,0,2,1,0,6,Typ,0,0,0.0,0.0,0,0,0,176,0,0,No,0,5,2010,WD ,94000,135,14,1890,11.451050061252142,1,25,25
137,1720,528181060,120,RL,4590,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,1.0,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,1,108.0,1,TA,1,1,Gd,Mn,GLQ,24.0,Unf,0.0,1530.0,1554.0,GasA,1,1,1,1554,0,0,1554,0.0,0.0,2,0,2,1,1,6,Typ,1,1,2.0,627.0,1,156,73,0,0,0,No,0,8,2007,WD ,209500,1,1,1,12.25247901834433,16,64,1024
142,89,532378110,20,RL,6897,Pave,0,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1.0,5,8,1962,2010,Gable,CompShg,HdBoard,HdBoard,0,0.0,0,Gd,0,0,TA,No,ALQ,659.0,Unf,0.0,381.0,1040.0,GasA,1,1,1,1040,0,0,1040,1.0,0.0,1,1,3,1,0,6,Typ,0,0,1.0,260.0,1,0,104,0,0,0,No,0,4,2010,WD ,127000,48,0,0,11.751942365440728,1,25,25
145,2020,903233180,50,RM,6240,Pave,1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5,6,6,1931,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,0,TA,0,0,Fa,No,LwQ,425.0,Unf,0.0,459.0,884.0,GasA,0,1,0,959,408,0,1367,0.0,0.0,1,0,3,1,0,6,Typ,1,0,1.0,560.0,1,0,0,0,0,120,No,0,11,2007,WD ,127500,76,57,4332,11.755871643580617,0,36,0
146,888,908128060,85,RL,7301,Pave,1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,1,500.0,1,TA,0,0,No,No,No,0.0,No,0.0,0.0,0.0,GasA,1,1,1,495,1427,0,1922,0.0,0.0,3,0,4,1,1,7,Typ,1,1,2.0,672.0,1,0,0,177,0,0,No,0,7,2009,ConLD,198500,6,6,36,12.198544379109382,9,49,441
154,1885,534276160,20,RL,7535,Pave,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.0,5,7,1958,1985,Gable,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,TA,No,BLQ,111.0,LwQ,279.0,522.0,912.0,GasA,0,1,1,912,0,0,912,0.0,1.0,1,0,2,1,0,5,Typ,0,1,1.0,297.0,1,12,285,0,0,0,MnWw,480,6,2007,WD ,120000,49,22,1078,11.695247021764184,0,25,0
156,2327,527182020,120,RL,3701,Pave,0,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1.0,8,5,1987,1987,Gable,CompShg,HdBoard,HdBoard,0,0.0,0,TA,0,1,TA,No,Unf,0.0,Unf,0.0,1191.0,1191.0,GasA,0,1,1,1204,0,0,1204,0.0,0.0,2,0,2,1,0,5,Typ,0,1,2.0,461.0,1,120,70,0,0,0,No,0,8,2006,WD ,130000,19,19,361,11.77528972943772,1,64,64
162,754,903430070,90,RM,3000,Pave,1,Bnk,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,2.0,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,0,0.0,0,TA,0,0,Fa,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,0,0,1,1088,1040,0,2128,0.0,0.0,2,0,4,2,0,11,Sev,0,0,0.0,0.0,1,0,56,0,0,0,No,0,9,2009,WD ,62500,87,59,5133,11.042921835724492,0,25,0
163,1079,528188150,160,RL,2448,Pave,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2.0,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,1,106.0,1,TA,1,1,TA,No,GLQ,573.0,Unf,0.0,191.0,764.0,GasA,1,1,1,764,862,0,1626,1.0,0.0,2,1,2,1,1,6,Typ,0,1,2.0,474.0,1,0,27,0,0,0,No,0,10,2008,WD ,154000,5,4,20,11.944707881395766,16,49,784
